collection_number,locality_id,continent,country,state,latitude_band,paleoocean,latitude,longitude,paleolatitude,paleolongitude,formation,member,stratscale,collection_name,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,age_range,time_interval_type,early_epoch,late_epoch,early_period,late_period,early_era,late_era,reference,collection_comments,age_evaluation,comments_evaluation,fossil_type,reference_display,reference_key
PBDB_151705,342,South America,Ecuador,Esmeraldas,Tropical,Pacific,-0.633333,-80.466667,-0.42,-79.74,Onzole,Upper,bed,Punta la Colorada,CRB123,9,Zanclean,Zanclean,5.333,3.6,1.733,Stage,Pliocene,Pliocene,Neogene,Neogene,Cenozoic,Cenozoic,Longbottom 1979,stated in text;,valid,"Changed min_ma from 2.6 to 3.6 based on ISC chart 2022; From PBDB: Age after Boessenecker et al., 2019.\r\nOnzole Fm. considered Miocene in Longbottom (1979). Most recently, Punta La Colorada locality has been considered Pliocene by Cione et al. 2007, based on Aalto and Miller, 1999. ",,Longbottom 1979,longbottom 1979
PBDB_151893,350,South America,Ecuador,Esmeraldas,Tropical,Pacific,-0.6,-80.449997,-0.39,-79.72,Onzole,Upper,bed,Punta Bellaca,CRB123a,3,Pliocene,Pliocene,5.333,2.58,2.753,Epoch,Pliocene,Pliocene,Neogene,Neogene,Cenozoic,Cenozoic,Longbottom 1979,stated in text;,valid,"Changed min_ma from 2.588 to 2.58 based on ISC chart 2022; From PBDB: Onzole Fm. considered Miocene in Longbottom (1979). Most recently Pliocene (Aalto and Miller, 1999).",,Longbottom 1979,longbottom 1979
PBDB_105717,25,North America,United States,Wyoming,Northern Temperate,Pacific,43.305832,-104.22361,49.52,-78.87,Pierre Shale,,formation,Amherst Collection at Mule Creek,,1,Campanian,Campanian,83.6,72.1,11.5,Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Loomis 1915,"based on nearby landmark; ""This collection was made at the head of Mule Creek, 20 miles due west of Edgemont""",valid,,,Loomis 1915,loomis 1915
PBDB_175920,635,Asia,Kazakhstan,,Northern Temperate,Pacific,50.298058,57.181389,48.47,55.5,,,,Altynshokysu (bone bed I),Altyn Schokysu,1,late Oligocene,late Oligocene,27.82,23.03,4.79,Sub-Epoch,Oligocene,Oligocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Lopatin 1996,"based on nearby landmark; North Aral Region, Chelkar District, Aktyubinsk Region, Kazakhstan",valid,Changed max_ma from 28.4 to 27.82 based on ISC chart 2022,,Lopatin 1996,lopatin 1996
PBDB_211308,984,South America,Brazil,Rio Grand do Sul,Southern Temperate,Atlantic,-32.833817,-53.032833,-32.83,-53.03,,,,Mirim Lake,,3,late Pleistocene,late Pleistocene,0.129,0.0117,0.1173,Sub-Epoch,Pleistocene,Pleistocene,Quaternary,Quaternary,Cenozoic,Cenozoic,Lopes et al. 2020,estimated from map;,valid,,,Lopes Et Al. 2020,lopes et al. 2020
L_2870,3624,Asia,India,Madhya Pradesh,Tropical,Tethys,21.587738,78.726988,-20.81,56.87,,,bed,Piplanarayanwar,,1,Maastrichtian,Maastrichtian,72.1,66,6.1,Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Lourembam et al. 2017,coordinates estimated from a map,valid,age justified in the text,teeth,Lourembam Et Al. 2017,lourembam et al. 2017
L_1290,2382,South America,Peru,Madre de Dios,Tropical,Pacific,-12.82334494,-71.96636663,-13.08,-58.38,,,group of beds,"Madre de Dios, MD-85",,2,late Paleocene,late Paleocene,59.2,56,3.2,Sub-Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Louterbach et al. 2014,coordinates estimated from a map; other vertebrates and invertebrates also reported in this study,valid,age justified in the text,teeth,Louterbach Et Al. 2014,louterbach et al. 2014
L_1291,2383,South America,Peru,Madre de Dios,Tropical,Pacific,-12.93797123,-71.9108403,-13.2,-58.32,,,group of beds,"Madre de Dios, MD-177",,2,late Paleocene,late Paleocene,59.2,56,3.2,Sub-Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Louterbach et al. 2014,coordinates estimated from a map; other vertebrates and invertebrates also reported in this study,valid,age justified in the text,teeth,Louterbach Et Al. 2014,louterbach et al. 2014
L_1292,2384,South America,Peru,Madre de Dios,Tropical,Pacific,-12.88066464,-71.92717157,-13.14,-58.34,,,group of beds,"Madre de Dios, MD-184",,3,late Paleocene,late Paleocene,59.2,56,3.2,Sub-Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Louterbach et al. 2014,coordinates estimated from a map; other vertebrates and invertebrates also reported in this study,valid,age justified in the text,teeth,Louterbach Et Al. 2014,louterbach et al. 2014
PBDB_31269,1377,Asia,India,Himachal Pradesh,Northern Temperate,Neo-Tethys,30.983334,76.98333,6.12,68.85,Subathu,,member,Kuthar Bridge,"OBLH, KBL",1,Ypresian,Ypresian,56,47.8,8.2,Stage,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Loyal 1984,based on nearby landmark; 2 km W/NW of Subathu,valid,"age of the formation based on Shuaib et al., 2021",,Loyal 1984,loyal 1984
PBDB_74857,1892,Europe,France,,Northern Temperate,Neo-Tethys,43.11666667,1.016666667,42,0.82,,,,Saint-Paul-lès-Dax,,1,Chattian,Chattian,27.82,23.03,4.79,Stage,Oligocene,Oligocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Lozouet 1998,"based on nearby landmark; SPECIFIC LOCATION: Saint-Paul-l√®s-Dax, near Mont-de-Marsan, Aquitaine Basin, France. Also includes: Falaise, Estoti, Abesse, Bezoye, Lestrilles. LAT/LONG: estimated based on Saint-Paul-l√®s-Dax, France.",valid,From PBDB: Chattian,,Lozouet 1998,lozouet 1998
PBDB_179271,656,North America,United States,New Mexico,Northern Temperate,Pacific,36.256599,-108.191299,43.09,-83.46,Fruitland,,bed,UNM 77-467,south Hunter Wash,1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Lucas 1981,"based on nearby landmark; UNM 77-467, south branch of Hunter Wash",valid,Changed max and min ages from 83.5 and 70.6 to 83.6 and 72.1 based on ISC chart 2022,,Lucas 1981,lucas 1981
PBDB_64415,1791,Asia,Kazakhstan,,Northern Temperate,Pacific,47.254444,61.046944,45.34,59.11,Chilikta,,,"Altyn Chokysu, Chilikta Formation",,1,Rupelian,Rupelian,33.9,27.82,6.08,Stage,Oligocene,Oligocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Lucas and Emry 1996,estimated from map;,valid,From PBDB: early Oligocene,,Lucas & Emry 1996,lucas & emry 1996
L_2911,3660,North America,United States,New Mexico,Northern Temperate,Pacific,35.560087,-107.036461,40.06,-75.01,Mancos Shale,Juana Lopez Member,,Herrera,,3,Turonian,Turonian,93.9,89.8,4.1,Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Lucas and Johnson 2003,"coordinates estimated from a map, hybodonts also reported in this study, information cpuld be from Johnson et al., 2002a, b",valid,age justified in the text,teeth,Lucas & Johnson 2003,lucas & johnson 2003
L_2912,3661,North America,United States,New Mexico,Northern Temperate,Pacific,33.978077,-107.113531,36.3,-71.17,Greenhorn Limestone,Bridge Creek Member,,Socorro County,,1,Cenomanian,Cenomanian,100.5,93.9,6.6,Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Lucas and Spielmann 2009,"coordinates estimated from a map, hybodonts also reported in this study",valid,age justified in the text,teeth,Lucas & Spielmann 2009,lucas & spielmann 2009
PBDB_52831,1666,North America,United States,New Mexico,Northern Temperate,Pacific,35.197899,-107.054604,41.36,-79.78,Crevasse Canyon,Gibson Coal,bed,UNM locality V-601,,3,Santonian,Santonian,86.3,83.6,2.7,Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Lucas et al. 1988,"stated in text; SW 1/4, SE 1/4, NE 1/4, sec 9, T11N, R2W",valid,,,Lucas Et Al. 1988,lucas et al. 1988
L_2913,3662,Europe,Austria,Upper Austria,Northern Temperate,Tethys Seaway,47.899625,14.316881,28.24,21.4,Schrambach-Formation,,,Schoberstein bei Ternberg,,1,Berriasian,Albian,145,100.5,44.5,Epoch,Lower Cretaceous,Lower Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Lukeneder 2001,,valid,age justified in the text,teeth,Lukeneder 2001,lukeneder 2001
PBDB_55585,1691,Europe,Austria,,Northern Temperate,Tethys Seaway,47.689999,13.656667,26.06,25.44,Rossfeld,,group of beds,"Kolowratshöhe, Perneck, Austria",,1,late Valanginian,late Valanginian,139.8,132.6,7.2,Sub-Stage,Lower Cretaceous,Lower Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Lukeneder 2005,"stated in text; ""3 km southeast of Bad Ischl and 1.5 km east of Perneck... at the end of an old, overgrown forest road on the west side of the Kolowratsh√∂he... poor exposure on the left side of the road""\r\n",valid,,,Lukeneder 2005,lukeneder 2005
PBDB_186639,723,South America,Colombia,Huila,Tropical,Pacific,3.233333,-75.175835,3.75,-72.67,Villavieja,Cerro Colorado,,Duke locality 32,,1,Laventan,Laventan,13.8,11.8,2,SALMA,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Lundberg 1997,estimated from map;,valid,,,Lundberg 1997,lundberg 1997
PBDB_186683,724,South America,Colombia,Huila,Tropical,Pacific,3.224167,-75.139168,3.74,-72.63,Villavieja,,,Fish bed - Duke locality,,1,Laventan,Laventan,13.8,11.8,2,SALMA,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Lundberg 1997,"based on nearby landmark; This locality coordinates were calculated using proximately the middle of the distribution of fish beds localities reported by Guerrero 1997 (1), because the author (Lundberg 1997 ‚Äì primary reference 65588) doesn't give more information or more precisely details than ""Fish Bed"".\r\n\r\n(1)Guerrero, J. 1997: Stratigraphy, sedimentary environments, and the Miocene uplift of the colombian Andes. Vertebrate paleontology in the Neotropics. The Miocene fauna of La Venta, Colombia.\r\n",valid,,,Lundberg 1997,lundberg 1997
PBDB_136776,184,South America,Venezuela,Falcon,Tropical,Pacific,11.0333,-70.05,10.58,-70.05,Urumaco,Upper,member,Tio Gregorio (Miocene of Venezuela),,8,Upper Miocene,late/Upper Miocene,11.63,5.333,6.297,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Lundberg and Aguilera 2003,"stated in text; Horovitz, et al. 2006The locality in which the most com- plete specimen of P. pattersoni was found (Sanchez-Villagra et al. 2003) is ‚ÄòT¬¥ƒ±o Gregorio' (llo 14'31""N,70¬∞18'40""W)",valid,,,Lundberg & Aguilera 2003,lundberg & aguilera 2003
L_700,4430,South America,Venezuela,Lara,Tropical,Pacific,11.35281,-69.53339,10.45,-68.12,Castillo,,,"Serranía La Baragua, Castillo Formation",CS,7,early Miocene,early Miocene,23.03,15.97,7.06,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Lundberg et al. 2001,coordinates estimated from a map; records taken from table 17.1,valid,age justified in the text,"teeth, dermal denticles, fin spines ",Lundberg Et Al. 2001,lundberg et al. 2001
L_701,4431,South America,Colombia,,Tropical,Pacific,4.3106,-74.89777,2.7,-73.41,,,,"Upper Magdalena Basin, Honda Group",HG,1,middle Miocene,middle Miocene,15.97,11.63,4.34,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Lundberg et al. 2001,coordinates estimated from a map; records taken from table 17.1,valid,age justified in the text,"teeth, dermal denticles, fin spines ",Lundberg Et Al. 2001,lundberg et al. 2001
L_702,4432,South America,Brazil,Acre,Tropical,Pacific,-10.78074,-68.54654,-10.32,-66.92,Solimoes/Pebas,,,"Rió Acre, Brazil",RA,3,late Miocene,late Miocene,11.63,5.333,6.297,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Lundberg et al. 2001,coordinates estimated from a map; records taken from table 17.1,valid,age justified in the text,"teeth, dermal denticles, fin spines ",Lundberg Et Al. 2001,lundberg et al. 2001
L_703,4433,South America,Peru,,Tropical,Pacific,-2.85968,-73.29321,-2.34,-70.78,,,,Upper Amazon Basin (Neogene),,2,early Miocene,late Miocene,23.03,5.333,17.697,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Lundberg et al. 2001,coordinates estimated from a map; records taken from table 17.1,valid,age justified in the text,"teeth, dermal denticles, fin spines ",Lundberg Et Al. 2001,lundberg et al. 2001
L_704,4434,South America,Peru,,Tropical,Pacific,-2.85968,-73.29321,-2.31,-71.26,,,,Upper Amazon Basin (middle to late Miocene),,1,middle Miocene,late Miocene,15.97,5.333,10.637,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Lundberg et al. 2001,coordinates estimated from a map; records taken from table 17.1,valid,age justified in the text,"teeth, dermal denticles, fin spines ",Lundberg Et Al. 2001,lundberg et al. 2001
L_705,4435,South America,Peru,,Tropical,Pacific,-2.85968,-73.29321,-2.45,-71.83,,,,Upper Amazon Basin (late Miocene),,2,late Miocene,late Miocene,11.63,5.333,6.297,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Lundberg et al. 2001,coordinates estimated from a map; records taken from table 17.1,valid,age justified in the text,"teeth, dermal denticles, fin spines ",Lundberg Et Al. 2001,lundberg et al. 2001
L_706,4436,South America,Venezuela,Falcon,Tropical,Pacific,11.33148,-70.27935,10.48,-70.28,Urumaco,,,"Urumaco, northwestern",UF,15,late Miocene,late Miocene,11.63,5.333,6.297,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Lundberg et al. 2001,coordinates estimated from a map; records taken from table 17.1,valid,age justified in the text,"teeth, dermal denticles, fin spines ",Lundberg Et Al. 2001,lundberg et al. 2001
PBDB_14674,152,North America,United States,Montana,Northern Temperate,Pacific,47.799999,-106.099998,54.36,-84.26,Hell Creek,,bed,Chris's Bonebed (CBB),MPM 2256,1,late Maastrichtian,late Maastrichtian,72.1,66,6.1,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Lupton et al. 1980,"stated in text; SW 1/4 of sec 10, T24N, R43E; along Ft. Peck Reservoir, S of Ft. Peck",valid,Changed max_ma from 70.6 to 72.1 according to ISC chart 2022,,Lupton Et Al. 1980,lupton et al. 1980
PBDB_72084,1875,Asia,India,,Northern Temperate,Pacific,25.166668,90.666664,16.96,86.3,Chengapara,,bed,Chengapara Fm - Zone IB,,4,Early Miocene,Early Miocene,23.03,15.97,7.06,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Lyngdoh et al. 1999,"estimated from map; SPECIFIC LOCATION: Exposed 3.2 km N of Barengapara on the right cutting, South Garo Hills district, Meghalaya, India. LAT/LONG: estimated based on Fig. 1 of Lyngdoh et al. (1999).",valid,early Miocene stated in the text; From PBDB:  Burdigalian.,,Lyngdoh Et Al. 1999,lyngdoh et al. 1999
PBDB_72085,4785,Asia,India,,Northern Temperate,Pacific,25.166668,90.666664,18.3,87.25,Chengapara,,bed,Chengapara Fm - Zone II,,4,Middle Miocene,Middle Miocene,15.97,11.63,4.34,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Lyngdoh et al. 1999,"estimated from map; SPECIFIC LOCATION: Exposed alog the Thalangi River, about 7.5 km NW of Barengapara, South Garo Hills district, Meghalaya, India. LAT/LONG: estimated based on Fig. 1 of Lyngdoh et al. (1999).",valid,"middle Miocene stated in the text; From PBDB:  Burdigalian-Helvetian, placed here in the Middle Miocene. ",,Lyngdoh Et Al. 1999,lyngdoh et al. 1999
PBDB_122903,94,North America,United States,North Dakota,Northern Temperate,Pacific,46.331112,-104.010277,52.79,-82.94,Hell Creek,,member,Turtle Graveyard locality,,1,late Maastrichtian,late Maastrichtian,72.1,66,6.1,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Lyson and Joyce 2009,"based on political unit; The Turtle Graveyard Locality is located in Bucklin Township, Slope County, near Marmarth, North Dakota. Used Google Earth centroid for Bucklin, ND.",valid,"Changed max_ma from 70.6 to 72.1 based on ISC chart 2022; From PBDB: Stratigraphically the quarry is placed in the lower third of the Hell Creek Formation (latest Maastrichtian), approximately 65 m below the Fort Union\r\nformational contact.\r\nThe site is located in the lower third of the [Hell Creek] formation, approximately 65 m below the formational contact with the Fort Union Formation",,Lyson & Joyce 2009,lyson & joyce 2009
PBDB_187583,732,North America,Panama,,Tropical,Pacific,9.2124,-79.593597,9.02,-78.1,Alajuela,,,Lago Alajuela,UF VP YPA088,8,Tortonian,Tortonian,11.63,7.246,4.384,Stage,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,MacFadden et al. 2017,stated in text;,valid,From PBDB: Comparison of the mean ratio with the global seawater 87Sr/86Sr curve for the Neogene [13] indicates a late Miocene age of 9.77 ¬± 0.22 Ma for this por- tion of the Alajuela Formation (Fig 5). The strontium dates also confirm a late Miocene age for the associated vertebrate fossils including the biochronologically informative horses and proboscidean Gomphotherium sp.\r\n,,Macfadden Et Al. 2017,macfadden et al. 2017
PBDB_31183,1375,North America,Cuba,,Tropical,Pacific,21.621111,-79.53083,23.45,-75.64,,,,Domo de Zaza,Zaza Dome,4,Early Miocene,Early Miocene,23.03,15.97,7.06,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,MacPhee et al. 2003,"based on nearby landmark; coordinate based on Presa Zaza, which is immediately north of Domo de Zaza",valid,,,Macphee Et Al. 2003,macphee et al. 2003
PBDB_140956,224,Asia,Saudi Arabia,Makkah,Tropical,Tethys,21.183332,41.5,10.65,33.67,Umm Himar,Middle,bed,Jabal Umm Himar locality 2,,1,Paleocene,Paleocene,66,56,10,Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Madden et al. 1995,"stated in text; Jabal Umm Himar, near Turabah, Southern Hijaz Province, Saudi Arabia",valid,,,Madden Et Al. 1995,madden et al. 1995
PBDB_140957,225,Asia,Saudi Arabia,Makkah,Tropical,Tethys,21.166668,41.416668,10.38,33.55,Umm Himar,Middle,bed,Jabal Umm Himar locality 3,,2,Paleocene,Paleocene,66,56,10,Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Madden et al. 1995,"stated in text; Jabal Umm Himar, near Turabah, Southern Hijaz Province, Saudi Arabia",valid,,,Madden Et Al. 1995,madden et al. 1995
PBDB_140962,225,Asia,Saudi Arabia,Makkah,Tropical,Tethys,21.166668,41.416668,10.11,33.51,Umm Himar,Middle,bed,Jabal Umm Himar locality 28,,1,Paleocene,Paleocene,66,56,10,Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Madden et al. 1995,"stated in text; Jabal Umm Himar, near Turabah, Southern Hijaz Province, Saudi Arabia",valid,,,Madden Et Al. 1995,madden et al. 1995
PBDB_140963,225,Asia,Saudi Arabia,Makkah,Tropical,Tethys,21.166668,41.416668,10.98,33.87,Umm Himar,Middle,bed,Jabal Umm Himar locality 29,,1,Paleocene,Paleocene,66,56,10,Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Madden et al. 1995,"stated in text; Jabal Umm Himar, near Turabah, Southern Hijaz Province, Saudi Arabia",valid,,,Madden Et Al. 1995,madden et al. 1995
PBDB_140964,225,Asia,Saudi Arabia,Makkah,Tropical,Tethys,21.166668,41.416668,10.38,33.55,Umm Himar,Middle,bed,Jabal Umm Himar locality 33,,1,Paleocene,Paleocene,66,56,10,Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Madden et al. 1995,"stated in text; Jabal Umm Himar, near Turabah, Southern Hijaz Province, Saudi Arabia",valid,,,Madden Et Al. 1995,madden et al. 1995
PBDB_140966,225,Asia,Saudi Arabia,Makkah,Tropical,Tethys,21.166668,41.416668,9.55,33.42,Umm Himar,Middle,bed,Jabal Umm Himar locality 35,,1,Paleocene,Paleocene,66,56,10,Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Madden et al. 1995,"stated in text; Jabal Umm Himar, near Turabah, Southern Hijaz Province, Saudi Arabia",valid,,,Madden Et Al. 1995,madden et al. 1995
PBDB_140968,225,Asia,Saudi Arabia,Makkah,Tropical,Tethys,21.166668,41.416668,10.94,33.63,Umm Himar,Middle,bed,Jabal Umm Himar locality 36W,,4,Paleocene,Paleocene,66,56,10,Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Madden et al. 1995,"stated in text; Jabal Umm Himar, near Turabah, Southern Hijaz Province, Saudi Arabia",valid,,,Madden Et Al. 1995,madden et al. 1995
PBDB_140969,225,Asia,Saudi Arabia,Makkah,Tropical,Tethys,21.166668,41.416668,10.11,33.51,Umm Himar,Middle,bed,Jabal Umm Himar locality 37,,5,Paleocene,Paleocene,66,56,10,Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Madden et al. 1995,"stated in text; Jabal Umm Himar, near Turabah, Southern Hijaz Province, Saudi Arabia",valid,,,Madden Et Al. 1995,madden et al. 1995
PBDB_140971,225,Asia,Saudi Arabia,Makkah,Tropical,Tethys,21.166668,41.416668,10.38,33.55,Umm Himar,Middle,bed,Jabal Umm Himar locality 38,,1,Paleocene,Paleocene,66,56,10,Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Madden et al. 1995,"stated in text; Jabal Umm Himar, near Turabah, Southern Hijaz Province, Saudi Arabia",valid,,,Madden Et Al. 1995,madden et al. 1995
PBDB_140972,225,Asia,Saudi Arabia,Makkah,Tropical,Tethys,21.166668,41.416668,10.96,33.75,Umm Himar,Middle,bed,Jabal Umm Himar locality 43,,1,Paleocene,Paleocene,66,56,10,Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Madden et al. 1995,"stated in text; Jabal Umm Himar, near Turabah, Southern Hijaz Province, Saudi Arabia",valid,,,Madden Et Al. 1995,madden et al. 1995
L_707,4437,Europe,Spain,Sevilla,Northern Temperate,Atlantic,37.22396,-5.90148,37.02,-5.96,,,group of beds,"Hacienda de Clarevot, Alcalá de Guadaira",,5,late Miocene,late Miocene,6.43,6.43,0,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Maestre et al. 2008,coordinates estimated from a nearby landmark; bony fishes also reported in this study,valid,age of 6.43 Ma suggested by the authors based on planktonic foraminifera,teeth,Maestre Et Al. 2008,maestre et al. 2008
PBDB_172153,619,North America,United States,,Northern Temperate,Pacific,32.810555,-97.079094,34.6,-64.14,Lewisville,,,Arlington Archosaur Site (facies A),"AAS, UTA Location 50",1,Middle Cenomanian,Middle Cenomanian,100.5,93.9,6.6,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Main et al. 2014,"stated in text; in Arlington, within the Dallas-Fort Worth metroplex",valid,Changed max and min ages from 99.6 and 93.5 to 100.5 and 93.9 based on ISC chart 2022,,Main Et Al. 2014,main et al. 2014
L_797,4514,North America,United States,,Northern Temperate,Pacific,34.64379,-76.63359,36.39,-71.62,Pungo River,,Formation,"Onslow Bay, shallow shelf, Pungo River",,8,early Miocene,middle Miocene,20.44,11.63,8.81,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Maisch et al. 2018,,valid,age justified in the text,teeth,Maisch Et Al. 2018,maisch et al. 2018
L_798,5020,North America,United States,,Northern Temperate,Pacific,34.64379,-76.63359,35.18,-75.42,Yorktown,,Formation,"Onslow Bay, shallow shelf, Yorktown",,13,early Pliocene,late Pliocene,5.333,2.58,2.753,Sub-Epoch,Pliocene,Pliocene,Neogene,Neogene,Cenozoic,Cenozoic,Maisch et al. 2018,,valid,age justified in the text,teeth,Maisch Et Al. 2018,maisch et al. 2018
L_799,5020,North America,United States,,Northern Temperate,Pacific,34.64379,-76.63359,35.08,-75.66,Yorktown,,Formation,"Onslow Bay, Int. and deep shelf, Yorktown",,13,early Pliocene,late Pliocene,5.333,2.58,2.753,Sub-Epoch,Pliocene,Pliocene,Neogene,Neogene,Cenozoic,Cenozoic,Maisch et al. 2018,,valid,age justified in the text,teeth,Maisch Et Al. 2018,maisch et al. 2018
L_3465,4087,North America,United States,Alabama,Northern Temperate,Pacific,31.834488,-88.313866,34.49,-77.02,Tallahatta-Lisbon boundary,,,Turkey Creek,,13,Lutetian,Bartonian,47.8,37.71,10.09,Sub-Epoch,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Maisch et al. 2014,"estimated from map, this collection was added as corrected version of a collection originally entred in PBDB under number 205834, which was originally only reported as from the Lisbon fm (Bartonian), however this publication reported occurrences from Tallahatta - Lisbon fm boundary which was stated to represent middle Eocene ', not only Bartonian",valid,Changed max and min ages from 41.3 and 38 to 41.2 and 37.71 based on ISC chart 2022,"teeth, dental plates, vertebrae",Maisch Et Al. 2014,maisch et al. 2014
PBDB_140191,223,North America,United States,North Carolina,Northern Temperate,Pacific,33.788055,-77.580002,35.7,-71.82,Pungo River,,,Onslow Bay A,,2,Aquitanian,Aquitanian,23.03,20.44,2.59,Stage,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Maisch et al. 2020a,estimated from map; offshore,valid, Aquitanian–Burdigalian stated in the text,,Maisch Et Al. 2020a,maisch et al. 2020a
PBDB_206776,930,North America,United States,Arkansas,Northern Temperate,Pacific,34.388058,-92.846664,39.35,-76.06,Clayton Limestone,,,LCLU Interstate 30 excavation,,12,Danian,Danian,66,61.6,4.4,Stage,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Maisch et al. 2020b,estimated from map;,valid,Age stated in the text,,Maisch Et Al. 2020b,maisch et al. 2020b
PBDB_219757,1237,North America,United States,North Carolina,Northern Temperate,Pacific,33.597221,-77.580002,34.05,-76.63,Yorktown,,,Onslow Bay B,,1,Zanclean,Piacenzian,5.333,2.58,2.753,Epoch,Pliocene,Pliocene,Neogene,Neogene,Cenozoic,Cenozoic,Maisch et al. 2020a,estimated from map;,valid,Age stated in the text,,Maisch Et Al. 2020a,maisch et al. 2020a
PBDB_219778,1238,North America,United States,North Carolina,Northern Temperate,Pacific,33.393333,-77.148888,33.94,-75.96,Yorktown,,,Onslow Bay C,,1,Zanclean,Piacenzian,5.333,2.58,2.753,Epoch,Pliocene,Pliocene,Neogene,Neogene,Cenozoic,Cenozoic,Maisch et al. 2020a,estimated from map;,valid,Age stated in the text,,Maisch Et Al. 2020a,maisch et al. 2020a
PBDB_221290,1263,North America,United States,New Mexico,Northern Temperate,Pacific,35.650002,-107.110001,40.16,-75.05,,,,NMNHM locality 2606,Shark Tooth Ridge,11,Turonian,Coniacian,93.9,86.3,7.6,Sub-Epoch,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Maisch et al. 2021,,valid,,,Maisch Et Al. 2021,maisch et al. 2021
