author,year,identifier,title,journal,keyword_time,keyword_place,described_species,described_genus,described_fam_ord,nov_fam,nov_gen,nov_sp,DOI,abstract,author1,journal_detail,pubtype,language,reference_display,reference_key
"Aguilera, O. & Luz, Z. & Carrillo-Briceño, J.D. & Kocsis, L. & Vennemann, T.W. & De Toledo, P.M. & Nogueira, A. & Amorim, K.N. & Moraes-Santos, H. & Polck, M.R. & De Lourdes Ruivo, M. & Linhares, A.P. & Monteiro-Neto, C.",2017,,Neogene sharks and rays from the Brazilian 'Blue Amazon',PLoS ONE,"Neogene, Miocene","South America, Brazil","Chiloscyllium sp., Nebrius sp., Pseudocarcharias cf. kamoharai, Carcharocles chubutensis, Carcharocles sp., Hemipristis serra, Galeocerdo mayumbensis, Rhizoprionodon sp., Carcharhinus ackermannii, Carcharhinus gibbesii, Carcharhinus perezi, Carcharhinus sp., Negaprion eurybathrodon, Sphyrna arambourgi, Sphyrna cf. laevissima, Rhynchobatus sp., Pristis sp., Dasyatis sp., Himantura sp., Taeniura sp., Aetomylaeus cubensis, Aetomylaeus sp., Rhinoptera sp., Carcharhinus leucas, ",,Myliobatoidea indet.,,,,10.1371/journal.pone.0182740,"The lower Miocene Pirabas Formation in the North of Brazil was deposited under influence of the proto-Amazon River and is characterized by large changes in the ecological niches from the early Miocene onwards. To evaluate these ecological changes, the elasmobranch fauna of the fully marine, carbonate-rich beds was investigated. A diverse fauna with 24 taxa of sharks and rays was identified with the dominant groups being carcharhiniforms and myliobatiforms. This faunal composition is similar to other early Miocene assemblages from the proto-Carribbean bioprovince. However, the Pirabas Formation has unique features compared to the other localities; being the only Neogene fossil fish assemblage described from the Atlantic coast of Tropical Americas. Phosphate oxygen isotope composition of elasmobranch teeth served as proxies for paleotemperatures and paleoecology. The data are compatible with a predominantly tropical marine setting with recognized inshore and offshore habitats with some probable depth preferences (e.g., Aetomylaeus groups). Paleohabitat of taxa particularly found in the Neogene of the Americas (‚Ä†Carcharhinus ackermannii, ‚Ä†Aetomylaeus cubensis) are estimated to have been principally coastal and shallow waters. Larger variation among the few analyzed modern selachians reflects a larger range for the isotopic composition of recent seawater compared to the early Miocene. This probably links to an increased influence of the Amazon River in the coastal regions during the Holocene.",Aguilera,"PLoS ONE, 12 (8): e0182740",Journal article,English,Aguilera et al. 2017,aguilera et al. 2017
"Aguillón-Martínez, M.C. & Espinosa, B. & Kirkland, J.I.",1997,,"A rostrum of the Sclerorhynchid sawfish Ischyrhiza mira from the Deltaic Cerro Del Pueblo Formation (Latest Campanian, Cretaceous) Coahuila, Mexico. Abstract.","Journal of Vertebrate Paleontology, 17","Cretaceous, Late Cretaceous, Campanian","North America, Mexico",Ischyrhiza mira,,,,,,,,Aguillón-Martínez,"Journal of Vertebrate Paleontology, 17 (Supplement to Number 3): 28A",Abstract,English,Aguillón-martínez et al. 1997,aguillon martinez et al. 1997
"Aguirre-Fernández G., Mennecart G.B., Sánchez-Villagra M.R., Sanchez R., Costeur L.",1985,,A dolphin fossil ear bone from the northern Neotropics—insights into habitat transitions in iniid evolution.,Journal of Vertebrate Paleontology,,,,,,,,,10.1080/02724634.2017.1315817,,Aguirre,,Journal article,Spanish,Aguirre-fernández et al. 1985,aguirre fernandez et al. 1985
"Aguirre-Fernández G., Carillo-Briceño J.D., Sánchez R., Amsson E., Sánchez-Villagra R.",2017,,"Fossil Cetaceans (Mammalia, Cetacea) from the Neogene of Colombia and Venezuela.",Journal of Mammalian Evolution,,,,,,,,, 	10.1007/s10914-016-9353-x,,Aguirre,,Journal article,English,Aguirre-fernández et al. 2017,aguirre fernandez et al. 2017
"Al Maleh, A.K. & Bardet, N.",2003,,Découverte de niveaux phosphatés associés à des restes de vertébrés dans les dépôts carbonatés du Coniacien-Santonien du Jabal Abtar: épisode précoce de la phosphatogenèse sénonienne des Palmyrides (Syrie centrale). (Discovery of phosphatic levels with vertebrate remains in the Coniacian-Santonian carbonated sediments of Jabal Abtar: early episode of the Senonian phosphatogenesis in the Palmyrides (central Syria)),Comptes Rendus Geosciences,"Cretaceous, Late Cretaceous, Santonian, Coniacian","Asia, Syria",Onchosaurus pharao,,,,,,10.1016/S1631-0713(03)00057-9,"Sedimentologic study of carbonated sediments of the Rmah-I member (Coniacian-Santonian) of Jabal Abtar, central southern Palmyrides (Central Syria), uncovers phosphatic levels, associated with marine vertebrate remains, that give evidence of an early episode of the Senonian phosphatogenesis in the Palmyrides. Sedimentary sequence analysis reveals a gradual marine transgression during the Senonian. Phosphatic sedimentation occurred in a shallow neritic marine environment almost connected with the open sea. Condensed sedimentation could have contributed to the phosphatogenesis.",Al Maleh,"Comptes Rendus Geosciences, 335 (4): 391–400",Journal article,French,Al Maleh & Bardet 2003,al maleh & bardet 2003
"Alberti, M. & Reich, S.",2018,,A palaeoecological review of the lower Gatun Formation (Miocene) of Panama with special emphasis on trophic relationships.,Palaeobiodiversity and Palaeoenvironments,"Neogene, Miocene, Serravallian, Tortonian","Central America, Panama","Carcharocles megalodon, Hemipristis serra, Galeocerdo cuvier, Carcharhinus sp., Negaprion brevirostris, Sphyrna mokarran, Sphyrna lewini, Taeniura aff. grabata, Aetobatus cf. narinari, Rhinoptera cf. steindachneri, Mobula sp.",,,,,,10.1007/s12549-018-0326-3,"A thorough literature review in combination with an analysis of fossil material from collections enables a detailed reconstruction of the ecosystem of the lower Gatun Formation (Serravallian to Tortonian; late middle to early late Miocene) of Central Panama. The fossil record is highly diverse and includes foraminifers, sponges, corals, mollusks, polychaetes, crustaceans, bryozoans, echinoderms, and vertebrates. The fauna indicates fully marine conditions in a shallow basin with a soft, stable substrate and mostly low water energy. The benthic life is dominated by suspension-feeding bivalves and carnivores including mainly gastropods and crustaceans. Herbivores are strikingly rare. Predator-prey relationships can be directly inferred from abundant drill holes in mollusk shells caused by naticid and muricid gastropods showing strong prey selectivity. Additionally, deep and narrow incisions at the outer lip of the apertures of gastropod shells are reported for the first time and proposed to be caused by crustaceans. Investigating the life habits of the benthic organisms revealed a moderate tiering of the fauna and the importance of empty shells as habitats for a variety of taxa. The nektonic life is highly diverse including nautilids, fishes, rays, sharks, sea turtles, crocodiles, and toothed whales. An analysis of the food preferences of the fossil fauna enables the reconstruction of a trophic web for the ecosystem of the lower Gatun Formation.",Alberti,"Palaeobiodiversity and Palaeoenvironments, 98 (4): 571-591",Journal article,English,Alberti & Reich 2018,alberti & reich 2018
"Albino A., Carrillo-Briceño J. D., J. M. Neenan",2016,,An enigmatic aquatic snake from the Cenomanian of northern South America,PeerJ,,,,,,,,,10.7717/peerj.2027,,Albino,,Journal article,English,Albino et al. 2016,albino et al. 2016
"Albright, L.B. & Gillette, D.D. & Titus, A.",2013,,"Fossil vertebrates from the tropic shale (Upper cretaceous), southern Utah.","At the Top of the Grand Staircaes, The Late Cretaceous of Southern Utah","Cretaceous, Late Cretaceous, Cenomanian, Turonian","North America, Utah","Scapanorhynchus raphiodon, Squalicorax curvatus, Cretoxyrhina mantelli, Ptychotrygon sp., Cretolamna appendiculata, Ptychodus decurrens, Ptychodus cf. mammillaris, Ptychodus whipplei, Ptychodus occidentalis, Ptychodus anonymus, Ptychodus sp.",,,,,,,"The upper Cenomanian–upper Turonian Tropic Shale of southern Utah contains an abundant and diverse vertebrate fauna. A decade of collecting, mostly by crews from the Museum of Northern Arizona, has secured specimens representing a dinosaur, at least fi ve different shortnecked plesiosaur genera, two genera of turtles, and a normal marine chondrichthyan–osteichthyan assemblage typical for the U.S. Western Interior. Most of the material is early and middle Turonian in age, refl ecting farthest offshore conditions. Larger vertebrates are less common in the Cenomanian part of the formation, probably because of nearer-shore conditions. Chondrichthyans are represented mostly by teeth and dermal ossicles. The genera Cretoxyrhina, Cretolamna, Squalicorax, Scapanorhyncus, Ptychotrygon, and Ptychodus are most common. Osteichthyans are represented by both fragments and complete articulated skeletons. The osteichthyan assemblage is dominated by ichthyodectids such as Xiphanctinus, but remains largely unsampled and unstudied. Two genera of chelonians are known: the marine form Desmatochelys, and the nearshore genus Naomichelys. The plesiosaurs are represented by the relict pliosaurid Brachauchenius and four genera of polycotylids, Palmulasaurus, Trinacromerum, Eopolycotylus, and Dolichorhynchops. The lone dinosaur recovered is a remarkably complete specimen of the bizarre therizinosaur theropod, Nothronychus. Longnecked plesiosaurs remain unknown from the Tropic Shale. It is hypothesized that the turbid nature of the muddy western shore region of the Cretaceous Interior Seaway might have excluded those taxa.",Albright,"In: Titus, A.L., Loewen, M.A. (Eds.), At the Top of the Grand Staircaes, The Late Cretaceous of Southern Utah. Indiana University Press.",Book chapter,English,Albright et al. 2013,albright et al. 2013
"Allmon W. A., Emslie S. D., D. S. Jones, G. S. Morgan",1996,,Late Neogene Oceanographic Change along Florida's West Coast: Evidence and Mechanisms,Journal of Geology,,,,,,,,,10.1086/629811,,Allmon,,Journal article,English,Allmon et al. 1996,allmon et al. 1996
"Altichieri L.,  , ",1980,,Il giacimento di Monte Duello (Verona),I vertebrat fossili italiani-Catalog della Mostra Verona,,,,,,,,,,,Altichieri,,Book chapter,Italian,Altichieri 1980,altichieri 1980
"Alván A., Apolín J., C. Chacaltana",2004,,"Los dientes de Seláceos (Condrichthyies) y su aplicaión estratigráfica en Las Lomas de Ullujaya (Ica, Perú)",XIII Congreso Peruano de Geología. Resúmenes Extendidos,,,,,,,,,,,Alván,,Journal article,Spanish,Alván et al. 2004,alvan et al. 2004
"Alvarado-Ortega, J. & Garibay-Romero, L.M. & Blanco-Piñón, A. & González-Barba, G. & Vega, F.J. & Centeno-García, E.",2006,,"Los peces fósiles de la Formación Mexcala (Cretácico Superior) en el Estado de Guerrero, México.",Revista Brasileira de Paleontologia,"Cretaceous, Late Cretaceous, Turonian, Maastrichtian","North America, Mexico","Ptychodus mortoni, Ptychodus decurrens, Serratolamna serrata, Squalicorax sp., Cretoxyrhina cf. mantelli",,Lamniformes ident.,,,,,"Just discovered fossil fishes from Guerrero State, Mexico, are described. The specimens were collected in six localities from the Upper Cretaceous (Turonian-Maastrichtian) Mexcala Formation and belong to different chondrichthyan groups. The fish remains include teeth of Ptychodus mortoni, P. decurrens, Serratolamna serrata, Squalicoraxsp., and Cretoxyrhinacf. mantelli, as well as unidentified lamniform vertebrae. Identified osteichthyans include remains of ichthyodectiforms, Tselfatiasp., Enchodussp., Pachyrhizoduscf. caninus, dercetids, and several bones, teeth and scales of unidentified taxa. This contribution represents the southern most report of Upper Cretaceous fishes in North America, suggesting that these groups had a wider geographic distribution than previously thought; including the Western Tethys Sea or Paleo-gulf of Mexico. The youngest report (Maastrichtian) of Ptychodus mortoniis documented. ",Alvarado-Ortegaa,"Revista Brasileira de Paleontologia, 9 (3): 261–272",Abstract,Spanish,Alvarado-ortega et al. 2006,alvarado ortega et al. 2006
"Alvarado-Ortega, J. & Cuevas-Garcíab, M. & Cantalice, K.",2018,,"The fossil fishes of the archaeological site of Palenque, Chiapas, southeastern
Mexico",Journal of Archaeological Science–Reports,"Neogene, Miocene, Serravallian, Tortonian","Central America, Mexico"," Carcharocles megalodon, Negaprion sp.",,,,,,10.1016/j.jasrep.2017.11.029,"Since the end of the nineteenth century, different remains of fossilized fishes had been observed or recovered from the Mayan City of Palenque. Although some efforts had been made to identify these objects, their taxonomical nature and possible origin within the geological environment of this archaeological site are poorly understood. In this work, we review these fossils recovered in Palenque and other two Mayan cities, Agua Clara and the El Lacandon, which are deposited into the collections of the Instituto Nacional de Antropologia e Historia (Mexico); we describe the morphological characteristics that allow us to identify them taxonomically. This research also reports the results of a paleontological exploration through the different Paleocene-Miocene sedimentary geological units in the surroundings of Palenque; the fossils thus collected belong to the same groups of those found within the archaeological Maya context. These results suggest that such geological units are the sources of all these fossils. In this exercise, three types of anthropogenic features produced by the Maya people were discovered on the fossils. Paint stains and plaster spots suggest that these fossils were painted. The pronounced differential wearing marks in some regions along the cutting edges of shark teeth and ray tail spines show that these fossils were used as cutting tools. Besides, the surfaces excavated around fossils preserved in slabs demonstrate that some Maya people intended on discovering and recognizing these objects, as modern paleontologists do.",Alvarado-Ortegaa," Journal of Archaeological Science–Reports, 17): 462–476",Journal article,English,Alvarado-ortega et al. 2018,alvarado ortega et al. 2018
